dataset,n_segments,codes_per_segment_median,codes_per_segment_q25,codes_per_segment_q75,frac_lt5,frac_lt10,frac_lt20,gate_pass,n_instances,real_gap,null_gap_mean,null_gap_std,real_gap_exceeds_null_by_std
hugadb,3821,4.0,3.0,6.0,0.5129547238942685,0.8673122219314315,0.9780162261188171,False,3821,0.3466453543282748,-0.00044116737447962793,0.005659246498943017,61.33087183383515
lara,14105,3.0,2.0,5.0,0.7213753987947537,0.928110599078341,0.980007089684509,False,14105,0.11364964091682161,0.00044232858177388175,0.006037574223161308,18.750463042054616
