activity,n_videos_matched,n_videos_no_predicted_segment,n_gt_segments,frame_weight,jsd_x100,null_floor_x100,jsd_minus_floor_x100,quantization_ceiling_x100,jsd_relative_to_ceiling_x100,wasserstein1_frames,wasserstein1_normalized
walk,1227,555,2797,236809,83.85,4.73,79.11,45.02,38.83,22.08,0.2608
stand,1251,668,2445,141250,90.45,5.01,85.44,42.5,47.95,41.1,0.7114
turn,510,627,1067,41646,56.85,7.99,48.86,34.56,22.28,12.54,0.3214
jump,16,348,229,18724,54.39,17.12,37.28,40.55,13.85,41.76,0.5107
none,526,1253,3388,130006,81.48,4.18,77.3,55.67,25.81,49.12,1.2802
