condition,patch_size_frames,fps,patch_duration_seconds,mof,edit,f1_10,f1_25,f1_50,mean_gt_duration_s,mean_pred_duration_s,median_pred_duration_s,jsd_seconds_x100
native_A1_B1,60,60,1.0,56.67626842509486,45.318414497792055,51.14740956007616,42.02825934462371,28.60006012626516,4.9637354968158425,3.079966439320126,1.0,65.8998826626419
B2,30,30,1.0,61.39461161602317,49.01526730272606,56.237580039743875,47.714727312872604,35.283727092073306,4.964459565558754,3.622150085927057,2.0,62.89932328871328
B3,15,15,1.0,63.167047861968655,52.235693289874206,58.79706369879233,51.05375325597916,34.17002131186361,4.966082177440461,4.102789189189189,2.0,62.468212776123686
A2,60,30,2.0,61.00555989006741,54.86543520161512,64.9636039005631,59.9917593737124,42.79631918692487,4.964459565558754,5.482427745664739,2.0,74.88933446749293
A3,60,15,4.0,61.79931209179605,41.85185367853447,48.70681517840288,41.11761374362847,28.771002454219374,4.966082177440461,12.855962059620596,4.0,72.56270752375086
